enzyme	SEED_subsystem	SEED_subsystem_functional_category	description	SRR29355722	SRR29355723	SRR29355724	SRR29355725	SRR29355726	SRR29355727	SRR29355728	SRR29355729	SRR29355730	SRR29355731	SRR29355732	SRR29355733	SRR29355734	SRR29355735	SRR29355736	SRR29355737	SRR29355738	SRR29355739	SRR29355740	SRR29355741	SRR29355742	SRR29355743	SRR29355744	SRR29355745	SRR29355746	SRR29355747	SRR29355748	SRR29355749	SRR29355750	SRR29355751	SRR29355752	SRR29355753
Myo-inositol 2-dehydrogenase 1 (EC 1.1.1.18)	Inositol_catabolism	Carbohydrates	Sugar alcohols	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0
N(5),N(10)-methenyltetrahydromethanopterin cyclohydrolase (EC 3.5.4.27)	One-carbon_metabolism_by_tetrahydropterines	Carbohydrates	One-carbon Metabolism	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	2	1	0	0	3	0	0	0	2	0	0	1	1
N(5),N(10)-methenyltetrahydromethanopterin cyclohydrolase (EC 3.5.4.27)	Serine-glyoxylate_cycle	Carbohydrates	One-carbon Metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N-Acetyl-D-glucosamine ABC transport system, permease protein 1	Chitin_and_N-acetylglucosamine_utilization	Carbohydrates	Aminosugars	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
N-Acetyl-D-glucosamine ABC transport system, permease protein 2	Chitin_and_N-acetylglucosamine_utilization	Carbohydrates	Aminosugars	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
N-Acetyl-D-glucosamine ABC transport system, sugar-binding protein	Chitin_and_N-acetylglucosamine_utilization	Carbohydrates	Aminosugars	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N-Acetylneuraminate cytidylyltransferase (EC 2.7.7.43)	CMP-N-acetylneuraminate_Biosynthesis	Cell Wall and Capsule	Capsular and extracellular polysacchrides	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	8	0	1	0	0	0	2	0	0	0	0	0
N-Ribosylnicotinamide phosphorylase (EC 2.4.2.1)	NAD_and_NADP_cofactor_biosynthesis_global	Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0
N-acetyl glucosamine transporter, NagP	Chitin_and_N-acetylglucosamine_utilization	Carbohydrates	Aminosugars	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N-acetyl-L,L-diaminopimelate aminotransferase (EC 2.6.1.-)	Lysine_Biosynthesis_DAP_Pathway	Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N-acetyl-L,L-diaminopimelate deacetylase (EC 3.5.1.47)	Lysine_Biosynthesis_DAP_Pathway	Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	0	0	0	0	0	1	0	0	2	2	1	0	3	0	0	0	3	1	1	2	0	0	0	1	1	1	0	0	0	0	0	1
N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38)	Arginine_Biosynthesis_extended	Amino Acids and Derivatives	Arginine; urea cycle, polyamines	0	1	0	7	1	0	3	0	2	1	0	0	0	0	7	5	0	4	0	2	2	2	0	0	0	0	0	0	0	11	3	0
N-acetylglucosamine kinase of eukaryotic type (EC 2.7.1.59)	Chitin_and_N-acetylglucosamine_utilization	Carbohydrates	Aminosugars	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
N-acetylglucosamine regulated methyl-accepting chemotaxis protein	Chitin_and_N-acetylglucosamine_utilization	Carbohydrates	Aminosugars	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
N-acetylglucosamine related transporter, NagX	Chitin_and_N-acetylglucosamine_utilization	Carbohydrates	Aminosugars	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	4	0
N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23)	Iojap	Miscellaneous	Plant-Prokaryote DOE project	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23)	Peptidoglycan_Biosynthesis	""	Cell Wall and Capsule	0	2	1	2	0	2	3	1	5	1	3	0	0	0	0	3	0	8	2	11	1	0	2	0	4	4	0	0	3	0	6	1
N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23)	Sialic_Acid_Metabolism	Cell Wall and Capsule	Capsular and extracellular polysacchrides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
N-acetylglucosamine-1-phosphate uridyltransferase eukaryotic (EC 2.7.7.23)	Peptidoglycan_Biosynthesis	""	Cell Wall and Capsule	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	2	1	70	0	0	0	0	0	0	0
N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	Chitin_and_N-acetylglucosamine_utilization	Carbohydrates	Aminosugars	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	Sialic_Acid_Metabolism	Cell Wall and Capsule	Capsular and extracellular polysacchrides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	2	0
N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	UDP-N-acetylmuramate_from_Fructose-6-phosphate_Biosynthesis	""	Cell Wall and Capsule	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N-acetylglucosamine-regulated TonB-dependent outer membrane receptor	Ton_and_Tol_transport_systems	""	Membrane Transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
N-acetylglutamate synthase (EC 2.3.1.1)	Arginine_Biosynthesis_extended	Amino Acids and Derivatives	Arginine; urea cycle, polyamines	0	5	5	6	20	1	1	8	4	4	1	2	1	0	0	2	0	10	1	4	1	0	3	3	1	1	2	0	0	0	4	2
N-acetylhexosamine 1-kinase	Lacto-N-Biose_I_and_Galacto-N-Biose_Metabolic_Pathway	""	Carbohydrates	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
N-acetylmannosamine kinase (EC 2.7.1.60)	Sialic_Acid_Metabolism	Cell Wall and Capsule	Capsular and extracellular polysacchrides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
N-acetylmannosamine-6-phosphate 2-epimerase (EC 5.1.3.9)	Sialic_Acid_Metabolism	Cell Wall and Capsule	Capsular and extracellular polysacchrides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
N-acetylmannosaminyltransferase (EC 2.4.1.187)	Teichoic_and_lipoteichoic_acids_biosynthesis	Cell Wall and Capsule	Gram-Positive cell wall components	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N-acetylmuramic acid 6-phosphate etherase (EC 4.2.-.-)	Recycling_of_Peptidoglycan_Amino_Sugars	""	Cell Wall and Capsule	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	7	0	2	0
N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	Recycling_of_Peptidoglycan_Amino_Acids	""	Cell Wall and Capsule	1	1	1	2	1	1	0	3	2	3	1	1	0	0	0	8	0	4	1	7	2	0	0	0	0	1	0	0	0	0	3	0
N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28) AmpD	Recycling_of_Peptidoglycan_Amino_Acids	""	Cell Wall and Capsule	0	0	0	4	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
N-acetylneuraminate lyase (EC 4.1.3.3)	Sialic_Acid_Metabolism	Cell Wall and Capsule	Capsular and extracellular polysacchrides	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
N-acetylneuraminate synthase (EC 2.5.1.56)	CMP-N-acetylneuraminate_Biosynthesis	Cell Wall and Capsule	Capsular and extracellular polysacchrides	0	0	3	0	25	0	0	2	0	0	1	1	0	0	0	2	1	0	1	3	3	1	0	0	0	0	0	0	0	1	1	0
N-acetylneuraminate synthase (EC 2.5.1.56)	Sialic_Acid_Metabolism	Cell Wall and Capsule	Capsular and extracellular polysacchrides	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N-acyl homoserine lactone hydrolase	Quorum_sensing_in_Yersinia	Regulation and Cell signaling	Quorum sensing and biofilm formation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
N-acylglucosamine 2-epimerase (EC 5.1.3.8)	Sialic_Acid_Metabolism	Cell Wall and Capsule	Capsular and extracellular polysacchrides	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
N-carbamoyl-L-amino acid hydrolase (EC 3.5.1.87)	Hydantoin_metabolism	""	Nucleosides and Nucleotides	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0
N-carbamoylputrescine amidase (3.5.1.53)	Polyamine_Metabolism	Amino Acids and Derivatives	Arginine; urea cycle, polyamines	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	5	0	2	0	0	0	1	0	0	2	0	0	0	0	0	1	0
N-formylglutamate deformylase (EC 3.5.1.68)	Histidine_Degradation	Amino Acids and Derivatives	Histidine Metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	5	0	0	0
N-linked glycosylation glycosyltransferase PglG	N-linked_Glycosylation_in_Bacteria	Protein Metabolism	Protein processing and modification	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
N-methylhydantoinase (ATP-hydrolyzing) (EC 3.5.2.14)	Hydantoin_metabolism	""	Nucleosides and Nucleotides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	1	0	3	0	0	0	1	0	1	3	1	0	0	0	0
N-methylhydantoinase A (EC 3.5.2.14)	Creatine_and_Creatinine_Degradation	""	Amino Acids and Derivatives	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	9	0	0	0	0	3	0	5	0	0	0	0	0	0	0
N-methylhydantoinase A (EC 3.5.2.14)	Hydantoin_metabolism	""	Nucleosides and Nucleotides	0	0	0	1	0	0	11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	1	0
N-methylhydantoinase B (EC 3.5.2.14)	Hydantoin_metabolism	""	Nucleosides and Nucleotides	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0
N-methyltransferase (EC 2.1.1.-)	Type_IV_pilus	Membrane Transport	Protein and nucleoprotein secretion system, Type IV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	1	0	0	0	0	0	1	1	0	0	1	4	3	0
N-succinyl-L,L-diaminopimelate aminotransferase (EC 2.6.1.17)	Lysine_Biosynthesis_DAP_Pathway	Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
N-succinyl-L,L-diaminopimelate aminotransferase alternative (EC 2.6.1.17)	Lysine_Biosynthesis_DAP_Pathway	Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	4	0	0	3	0	2	0	0	0	0	0	0	0	1	0
N-succinyl-L,L-diaminopimelate desuccinylase (EC 3.5.1.18)	Arginine_Biosynthesis_extended	Amino Acids and Derivatives	Arginine; urea cycle, polyamines	0	6	2	1	0	0	1	0	0	2	0	0	0	0	0	7	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0
N5-methyltetrahydromethanopterin:coenzyme M methyltransferase subunit A (EC 2.1.1.86)	Methanogenesis	Carbohydrates	One-carbon Metabolism	0	0	0	0	0	0	0	0	0	0	2	1	2	0	4	7	1	1	0	7	0	0	0	2	4	7	4	0	0	0	11	1
N5-methyltetrahydromethanopterin:coenzyme M methyltransferase subunit B (EC 2.1.1.86)	Methanogenesis	Carbohydrates	One-carbon Metabolism	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	1	0	0	2	3	0	2	24	0	0	0	1	5
N5-methyltetrahydromethanopterin:coenzyme M methyltransferase subunit C (EC 2.1.1.86)	Methanogenesis	Carbohydrates	One-carbon Metabolism	0	0	0	0	0	0	0	8	0	0	2	0	1	0	1	2	0	0	0	12	0	0	2	3	2	12	2	2	6	0	2	1
N5-methyltetrahydromethanopterin:coenzyme M methyltransferase subunit D (EC 2.1.1.86)	Methanogenesis	Carbohydrates	One-carbon Metabolism	0	0	0	0	0	0	0	0	0	0	1	0	0	0	12	5	3	0	0	12	0	0	3	4	11	6	12	2	0	0	2	0
N5-methyltetrahydromethanopterin:coenzyme M methyltransferase subunit E (EC 2.1.1.86)	Methanogenesis	Carbohydrates	One-carbon Metabolism	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	1	0	0	14	0	2	2	12	2	3	8	0	1	0	7	3
N5-methyltetrahydromethanopterin:coenzyme M methyltransferase subunit F (EC 2.1.1.86)	Methanogenesis	Carbohydrates	One-carbon Metabolism	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	4	0	0	0	0	2	1	6	0	0	0	0	1
N5-methyltetrahydromethanopterin:coenzyme M methyltransferase subunit G (EC 2.1.1.86)	Methanogenesis	Carbohydrates	One-carbon Metabolism	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	3	2	0	0	2	0	0	0	3	1	0	3	1	0	0	3	1
N5-methyltetrahydromethanopterin:coenzyme M methyltransferase subunit H (EC 2.1.1.86)	Methanogenesis	Carbohydrates	One-carbon Metabolism	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	7	11	1	0	24	0	0	10	21	1	2	6	1	1	0	0	1
N5-methyltetrahydromethanopterin:coenzyme M methyltransferase subunit X	Methanogenesis	Carbohydrates	One-carbon Metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
NAD kinase (EC 2.7.1.23)	NAD_and_NADP_cofactor_biosynthesis_global	Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	4	0	2	0	2	0	0	1	0	1	1	0	1	0	0	1	2
NAD synthetase (EC 6.3.1.5)	NAD_and_NADP_cofactor_biosynthesis_global	Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP	0	7	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	4	1	0	0	0	0	1	0	0
NAD(P) transhydrogenase alpha subunit (EC 1.6.1.2)	Phosphate_metabolism	""	Phosphorus Metabolism	2	4	1	0	1	3	4	5	9	1	0	0	0	0	0	0	1	15	3	7	0	1	1	1	4	7	0	1	0	0	13	2
NAD(P) transhydrogenase subunit beta (EC 1.6.1.2)	Phosphate_metabolism	""	Phosphorus Metabolism	1	1	0	25	1	1	0	0	12	2	1	0	2	0	0	0	3	8	2	7	1	2	10	0	6	3	0	1	0	3	8	2
NAD(P)-dependent glyceraldehyde 3-phosphate dehydrogenase archaeal (EC 1.2.1.59)	Glycolysis_and_Gluconeogenesis,_including_Archaeal_enzymes	Carbohydrates	Central carbohydrate metabolism	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	2	0	0	7	0	0	0	5	0	1	0	1	0	0	0	0
NAD(P)H oxidoreductase YRKL (EC 1.6.99.-)	Flavodoxin	Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	0	1	0	0	0	0	4	0	0	1	0	2	0	0	0	2	1	2	0	3	0	0	0	0	0	0	0	0	0	4	0	1
NAD(P)H-quinone oxidoreductase subunit 3 (EC 1.6.5.2)	Respiratory_Complex_I	Respiration	Electron donating reactions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
NAD-dependent epimerase/dehydratase	CBSS-296591.1.peg.2330	""	Clustering-based subsystems	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	5	0	2	0	0	0	0	0	3	0
NAD-dependent epimerase/dehydratase family protein	CBSS-296591.1.peg.2330	""	Clustering-based subsystems	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1
NAD-dependent formate dehydrogenase (EC 1.2.1.2)	Formate_hydrogenase	""	Respiration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NAD-dependent formate dehydrogenase alpha subunit	Formate_hydrogenase	""	Respiration	6	45	37	72	20	0	2	14	2	0	0	4	1	1	0	3	2	16	1	8	4	2	1	0	0	1	0	1	3	1	1	2
NAD-dependent formate dehydrogenase beta subunit	Formate_hydrogenase	""	Respiration	0	35	7	39	0	0	0	1	1	0	0	0	0	0	1	0	0	4	0	0	1	0	0	0	1	1	0	0	0	1	1	0
NAD-dependent formate dehydrogenase delta subunit	Formate_hydrogenase	""	Respiration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAD-dependent formate dehydrogenase gamma subunit	Formate_hydrogenase	""	Respiration	2	10	6	47	2	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0
NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	Glycolysis_and_Gluconeogenesis	Carbohydrates	Central carbohydrate metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	Pyridoxin_(Vitamin_B6)_Biosynthesis	Cofactors, Vitamins, Prosthetic Groups, Pigments	Pyridoxine	11	0	0	27	0	6	0	1	42	51	42	1	0	1	0	32	12	22	16	56	4	5	0	4	160	35	0	0	0	11	93	14
NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	Redox-dependent_regulation_of_nucleus_processes	Stress Response	Oxidative stress	0	37	2	0	19	0	26	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	77	0	0	0	6	5	22	0	0	0
NAD-dependent malic enzyme (EC 1.1.1.38)	Pyruvate_metabolism_I:_anaplerotic_reactions,_PEP	Carbohydrates	Central carbohydrate metabolism	1	3	0	2	0	1	0	0	2	4	0	0	0	1	2	6	0	3	1	3	3	0	8	0	3	24	1	0	0	2	10	1
NAD-dependent protein deacetylase of SIR2 family	Pyruvate_metabolism_II:_acetyl-CoA,_acetogenesis_from_pyruvate	Carbohydrates	Central carbohydrate metabolism	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
NAD-dependent protein deacetylase of SIR2 family	Redox-dependent_regulation_of_nucleus_processes	Stress Response	Oxidative stress	0	1	0	1	0	0	0	0	0	24	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0
NAD-independent protein deacetylase AcuC	Pyruvate_metabolism_II:_acetyl-CoA,_acetogenesis_from_pyruvate	Carbohydrates	Central carbohydrate metabolism	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0
NAD-reducing hydrogenase subunit HoxE (EC 1.12.1.2)	Hydrogenases	Respiration	Electron donating reactions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAD-reducing hydrogenase subunit HoxF (EC 1.12.1.2)	Hydrogenases	Respiration	Electron donating reactions	2	1	1	0	2	0	16	2	4	1	1	0	1	0	0	4	2	4	0	4	1	1	0	0	1	3	0	1	0	0	3	2
NAD-reducing hydrogenase subunit HoxH (EC 1.12.1.2)	Hydrogenases	Respiration	Electron donating reactions	0	0	0	0	0	0	5	0	3	2	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0
NAD-reducing hydrogenase subunit HoxU (EC 1.12.1.2)	Hydrogenases	Respiration	Electron donating reactions	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	3	1	0	0	0	0	0	0
NAD-reducing hydrogenase subunit HoxY (EC 1.12.1.2)	Hydrogenases	Respiration	Electron donating reactions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
NAD-specific glutamate dehydrogenase (EC 1.4.1.2)	Glutamine,_Glutamate,_Aspartate_and_Asparagine_Biosynthesis	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	0	0	0	0	0	2	0	2	1	0	2	0	0	0	0	0	3	0	1	0	0	0	0	0	2	0	0	0	0	0	1	2
NAD-specific glutamate dehydrogenase (EC 1.4.1.2), eukaryotic type	Glutamine,_Glutamate,_Aspartate_and_Asparagine_Biosynthesis	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAD-specific glutamate dehydrogenase (EC 1.4.1.2), large form	Glutamine,_Glutamate,_Aspartate_and_Asparagine_Biosynthesis	Amino Acids and Derivatives	Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	2	0	0	10	0	0	1	0	3	1	0	0	0	0	0	6	0	6	2	0	0	3	5	0	4	5	0	0	4	7	1	0
NADH dehydrogenase (EC 1.6.99.3)	Respiratory_dehydrogenases_1	Respiration	Electron donating reactions	0	14	9	35	1	0	4	9	1	1	1	0	0	0	0	4	2	18	18	10	4	2	0	0	4	4	1	0	0	18	4	1
NADH dehydrogenase subunit 1	Respiratory_Complex_I	Respiration	Electron donating reactions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NADH dehydrogenase subunit 3	Respiratory_Complex_I	Respiration	Electron donating reactions	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NADH dehydrogenase subunit 4, Involved in CO2 fixation	CO2_uptake,_carboxysome	Carbohydrates	CO2 fixation	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
NADH dehydrogenase, subunit 5	Respiratory_Complex_I	Respiration	Electron donating reactions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NADH pyrophosphatase (EC 3.6.1.22)	Nudix_proteins_(nucleoside_triphosphate_hydrolases)	Nucleosides and Nucleotides	Detoxification	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0
NADH ubiquinone oxidoreductase chain A (EC 1.6.5.3)	Respiratory_Complex_I	Respiration	Electron donating reactions	0	1	5	14	5	0	2	1	2	1	0	0	0	0	0	0	0	5	1	3	1	0	0	0	1	2	0	0	0	0	2	0
NADH-dependent butanol dehydrogenase A (EC 1.1.1.-)	Butanol_Biosynthesis	Carbohydrates	Fermentation	0	5	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2
NADH-ubiquinone oxidoreductase chain B (EC 1.6.5.3)	Respiratory_Complex_I	Respiration	Electron donating reactions	0	0	0	0	18	0	4	1	12	18	5	0	0	1	0	3	3	6	0	9	0	1	1	5	2	1	1	0	0	5	15	3
NADH-ubiquinone oxidoreductase chain B (EC 1.6.5.3) homolog	Respiratory_Complex_I	Respiration	Electron donating reactions	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NADH-ubiquinone oxidoreductase chain C (EC 1.6.5.3)	Respiratory_Complex_I	Respiration	Electron donating reactions	2	1	2	17	2	1	4	0	7	4	0	0	0	1	0	10	1	4	1	5	0	2	4	0	6	5	1	0	1	1	10	8
NADH-ubiquinone oxidoreductase chain D (EC 1.6.5.3)	Respiratory_Complex_I	Respiration	Electron donating reactions	1	22	4	26	21	12	7	23	44	44	17	1	15	1	1	40	2	15	3	51	1	6	34	12	23	26	10	0	1	4	39	25
NADH-ubiquinone oxidoreductase chain E (EC 1.6.5.3)	Respiratory_Complex_I	Respiration	Electron donating reactions	3	0	0	5	0	6	0	0	9	5	1	0	1	0	0	2	0	5	0	0	0	0	3	0	0	3	0	1	0	1	16	0
NADH-ubiquinone oxidoreductase chain F (EC 1.6.5.3)	Respiratory_Complex_I	Respiration	Electron donating reactions	1	1	3	5	0	0	3	2	13	21	0	0	0	1	0	6	1	10	3	3	1	2	23	2	8	9	0	0	0	0	9	0
NADH-ubiquinone oxidoreductase chain H (EC 1.6.5.3)	Respiratory_Complex_I	Respiration	Electron donating reactions	4	4	3	8	3	1	2	0	20	17	4	0	2	0	0	22	2	12	3	17	0	2	6	4	8	10	4	0	4	0	8	3
NADH-ubiquinone oxidoreductase chain I (EC 1.6.5.3)	Respiratory_Complex_I	Respiration	Electron donating reactions	0	0	0	0	4	0	1	0	5	9	3	2	0	0	0	2	0	3	1	1	0	1	5	1	3	3	0	0	0	4	1	1
NADH-ubiquinone oxidoreductase chain J (EC 1.6.5.3)	Respiratory_Complex_I	Respiration	Electron donating reactions	0	0	1	0	0	4	1	0	1	2	1	0	0	0	0	5	0	5	0	1	0	1	1	0	0	0	0	0	1	1	6	0
NADH-ubiquinone oxidoreductase chain K (EC 1.6.5.3)	Respiratory_Complex_I	Respiration	Electron donating reactions	0	0	1	1	0	0	3	0	1	1	0	1	0	0	0	12	1	5	0	1	0	0	2	0	0	2	0	0	0	2	9	1
